"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/",128,0,2100,3254,8,13393,3079,0.22,0.00,2200,3900,5600,6200,9400,11000,12000,13000,13000,13000,13000,13000
"POST","/",128,0,4400,5421,166,16085,2524,0.22,0.00,4600,7700,9100,9700,13000,15000,16000,16000,16000,16000,16000,16000
"GET","/analysis.html",14,0,210,2164,11,11843,52059,0.02,0.00,220,2300,2600,2700,9700,12000,12000,12000,12000,12000,12000,12000
"POST","/analysisResult.html?stock=Apple&type=Candle&date_from=2015-11-03&date_to=2020-02-20",1,0,9179,9179,9179,9179,6914762,0.00,0.00,9200,9200,9200,9200,9200,9200,9200,9200,9200,9200,9200,9200
"POST","/analysisResult.html?stock=Apple&type=Table&date_from=2015-11-03&date_to=2020-02-20",3,0,83000,85430,62325,111403,658134,0.01,0.00,83000,83000,111000,111000,111000,111000,111000,111000,111000,111000,111000,111000
"GET","/compare.html",24,0,1700,2270,38,9381,108023,0.04,0.00,1800,2800,3400,3500,5800,6000,9400,9400,9400,9400,9400,9400
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Table&date_from=2015-02-02&date_to=2020-02-20",2,0,451000,504660,450573,558746,2422313,0.00,0.00,559000,559000,559000,559000,559000,559000,559000,559000,559000,559000,559000,559000
"GET","/measure.html",48,0,1200,1793,15,6759,46273,0.08,0.00,1600,2500,3000,3800,4700,5300,6800,6800,6800,6800,6800,6800
"POST","/measureResults.html",15,0,273000,254799,98343,405014,133082,0.03,0.00,273000,291000,351000,366000,380000,405000,405000,405000,405000,405000,405000,405000
"GET","/movers.html",32,0,2100,2566,48,9044,3745,0.05,0.00,2300,3600,4300,4300,5000,8900,9000,9000,9000,9000,9000,9000
"POST","/moversResult.html",31,0,476000,457331,318507,559750,16033,0.05,0.00,476000,488000,500000,504000,513000,527000,560000,560000,560000,560000,560000,560000
"GET","/prediction.html",16,0,2100,2705,208,8411,40373,0.03,0.00,2100,2700,4300,4300,6400,8400,8400,8400,8400,8400,8400,8400
"None","Aggregated",442,0,2800,46789,8,559750,52607,0.74,0.00,2800,5400,8100,9700,180000,451000,500000,513000,560000,560000,560000,560000
