"Type","Name","Timestamp","# requests","# failures","Requests/s","Requests Failed/s","Median response time","Average response time","Min response time","Max response time","Average Content Size","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"None","Aggregated","1592028401",6,0,0.00,0.00,16,65,9,168.98,18256.33,0,0,0,0,0,0,0,0,0,0,0,0
"None","Aggregated","1592028403",18,0,1.00,0.00,16,72,8,214.06,15572.22,16,170,170,170,200,210,210,210,210,210,210,210
"None","Aggregated","1592028405",30,0,4.33,0.00,35,93,8,343.84,18704.20,38,170,170,200,270,340,340,340,340,340,340,340
"None","Aggregated","1592028407",40,0,5.00,0.00,59,119,8,450.42,16932.62,66,170,200,220,340,430,450,450,450,450,450,450
"None","Aggregated","1592028409",52,0,5.29,0.00,80,151,8,582.31,16308.98,83,200,220,230,430,540,550,580,580,580,580,580
"None","Aggregated","1592028411",65,0,5.33,0.00,120,322,8,9179.63,123866.23,150,210,310,340,570,690,760,9200,9200,9200,9200,9200
"None","Aggregated","1592028413",75,0,5.80,0.00,150,326,8,9179.63,109388.16,180,270,430,450,630,770,840,9200,9200,9200,9200,9200
"None","Aggregated","1592028415",85,0,5.80,0.00,170,352,8,9179.63,97439.15,210,360,550,620,770,1200,1500,9200,9200,9200,9200,9200
"None","Aggregated","1592028417",98,0,5.60,0.00,180,384,8,9179.63,88422.36,230,450,620,690,1200,1500,1500,9200,9200,9200,9200,9200
"None","Aggregated","1592028419",109,0,5.40,0.00,210,395,8,9179.63,80775.57,290,440,690,840,1200,1500,1500,9200,9200,9200,9200,9200
"None","Aggregated","1592028421",120,0,5.70,0.00,220,414,8,9179.63,74768.50,320,490,840,1100,1200,1500,1500,1500,1500,1500,1500,1500
"None","Aggregated","1592028423",128,0,5.80,0.00,220,440,8,9179.63,71914.65,350,840,1100,1100,1300,1500,1500,1500,1500,1500,1500,1500
"None","Aggregated","1592028425",139,0,5.50,0.00,240,483,8,9179.63,67345.04,490,970,1100,1100,1400,1800,2000,2400,2400,2400,2400,2400
"None","Aggregated","1592028427",154,0,5.40,0.00,260,530,8,9179.63,62192.85,510,970,1100,1200,1800,2300,2400,3000,3000,3000,3000,3000
"None","Aggregated","1592028429",165,0,5.60,0.00,300,557,8,9179.63,59366.34,530,1100,1300,1500,1800,2300,2400,3000,3000,3000,3000,3000
"None","Aggregated","1592028431",170,0,5.60,0.00,320,586,8,9179.63,58321.62,700,1300,1600,1700,1800,2300,3000,3000,3000,3000,3000,3000
"None","Aggregated","1592028433",175,0,5.20,0.00,330,632,8,9179.63,57586.59,1100,1700,1800,1800,2300,2800,3500,3500,3500,3500,3500,3500
"None","Aggregated","1592028435",182,0,4.80,0.00,350,714,8,9179.63,55721.37,1500,1800,1800,2200,3000,3500,4100,4100,4100,4100,4100,4100
"None","Aggregated","1592028437",191,0,4.50,0.00,350,784,8,9179.63,53659.34,1700,2000,2200,2300,3500,4100,4200,4200,4200,4200,4200,4200
"None","Aggregated","1592028439",200,0,4.00,0.00,390,906,8,9179.63,51588.65,2200,2800,3500,4000,4200,4800,5300,5300,5300,5300,5300,5300
"None","Aggregated","1592028441",211,0,3.40,0.00,440,1003,8,9179.63,49266.00,2400,3200,3600,4100,4600,4800,5300,5300,5300,5300,5300,5300
"None","Aggregated","1592028443",219,0,3.80,0.00,470,1109,8,9179.63,47965.15,3000,3600,4100,4200,4800,5300,5900,5900,5900,5900,5900,5900
"None","Aggregated","1592028445",225,0,4.20,0.00,500,1177,8,9179.63,47704.47,3100,4000,4200,4400,5200,5300,5900,5900,5900,5900,5900,5900
"None","Aggregated","1592028447",232,0,4.30,0.00,530,1304,8,9179.63,46350.84,3900,4400,4600,5200,5700,6800,7000,7000,7000,7000,7000,7000
"None","Aggregated","1592028449",242,0,4.30,0.00,600,1438,8,9179.63,45351.54,3900,4500,5000,5200,6700,7000,7900,7900,7900,7900,7900,7900
"None","Aggregated","1592028451",252,0,4.20,0.00,670,1606,8,9179.63,43663.04,4500,5400,6000,6500,7000,7800,7900,7900,7900,7900,7900,7900
"None","Aggregated","1592028453",257,0,3.80,0.00,760,1670,8,9179.63,42874.33,5000,5700,6400,6700,7700,7800,7900,7900,7900,7900,7900,7900
"None","Aggregated","1592028455",265,0,4.00,0.00,940,1771,8,9179.63,42370.62,5000,5900,6700,6800,7700,7900,8600,8600,8600,8600,8600,8600
"None","Aggregated","1592028457",275,0,3.90,0.00,1100,1923,8,9179.63,41834.62,5600,6000,6700,6900,7700,7900,8900,8900,8900,8900,8900,8900
"None","Aggregated","1592028459",283,0,4.20,0.00,1100,2087,8,10876.32,40862.99,5900,6600,7000,7700,8600,8900,11000,11000,11000,11000,11000,11000
"None","Aggregated","1592028461",285,0,4.10,0.00,1100,2121,8,10876.32,40747.45,6000,6900,7700,8000,8900,9800,11000,11000,11000,11000,11000,11000
"None","Aggregated","1592028463",286,0,4.10,0.00,1100,2141,8,10876.32,40615.74,6200,7000,7800,8600,9100,9800,11000,11000,11000,11000,11000,11000
"None","Aggregated","1592028465",293,0,3.00,0.00,1200,2481,8,62325.89,42231.62,7000,8500,9000,9100,11000,11000,62000,62000,62000,62000,62000,62000
"None","Aggregated","1592028467",302,0,2.90,0.00,1300,2713,8,62325.89,41202.33,8500,9600,11000,11000,15000,16000,62000,62000,62000,62000,62000,62000
"None","Aggregated","1592028469",315,0,2.60,0.00,1500,3027,8,62325.89,40405.32,9600,12000,12000,12000,15000,16000,62000,62000,62000,62000,62000,62000
"None","Aggregated","1592028471",327,0,3.10,0.00,1600,3261,8,62325.89,39485.51,9700,12000,12000,13000,15000,16000,62000,62000,62000,62000,62000,62000
"None","Aggregated","1592028473",336,0,3.70,0.00,1700,3463,8,62325.89,38504.06,9800,12000,13000,13000,16000,16000,62000,62000,62000,62000,62000,62000
