"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/",16,0,3,4,2,12,3079,0.04,0.00,3,3,7,7,11,12,12,12,12,12,12,12
"POST","/",16,0,180,184,160,233,2524,0.04,0.00,190,190,200,200,210,230,230,230,230,230,230,230
"GET","/analysis.html",3,0,38,37,13,58,52059,0.01,0.00,38,38,58,58,58,58,58,58,58,58,58,58
"POST","/analysisResult.html?stock=Apple&type=Candle&date_from=2015-11-03&date_to=2020-02-20",3,0,65000,47100,3825,72149,6914762,0.01,0.00,65000,65000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
"GET","/compare.html",2,0,18,18,18,18,108023,0.00,0.00,18,18,18,18,18,18,18,18,18,18,18,18
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Line&date_from=2015-02-02&date_to=2020-02-20",2,0,85250,85342,85250,85435,14042800,0.00,0.00,85000,85000,85000,85000,85000,85000,85000,85000,85000,85000,85000,85000
"GET","/measure.html",12,0,17,28,11,61,46273,0.03,0.00,17,18,58,58,59,61,61,61,61,61,61,61
"POST","/measureResults.html",12,0,3200,30797,2439,75315,1227614,0.03,0.00,3400,62000,70000,70000,72000,75000,75000,75000,75000,75000,75000,75000
"GET","/movers.html",4,0,43,45,43,49,3745,0.01,0.00,47,47,49,49,49,49,49,49,49,49,49,49
"POST","/moversResult.html",4,0,27000,25820,19314,28780,16046,0.01,0.00,28000,28000,29000,29000,29000,29000,29000,29000,29000,29000,29000,29000
"GET","/prediction.html",5,0,8,9,7,16,40373,0.01,0.00,8,8,8,16,16,16,16,16,16,16,16,16
"POST","/predictionResult.html",5,0,98000,80534,8244,99215,344190,0.01,0.00,98000,99000,99000,99000,99000,99000,99000,99000,99000,99000,99000,99000
"None","Aggregated",84,0,61,14181,2,99215,792623,0.21,0.00,160,200,3200,19000,72000,85000,99000,99000,99000,99000,99000,99000
