"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/",64,0,3,5,2,20,3079,0.11,0.00,3,4,5,7,12,15,18,20,20,20,20,20
"POST","/",64,0,170,186,160,336,2524,0.11,0.00,170,180,190,190,210,280,340,340,340,340,340,340
"GET","/analysis.html",12,0,11,12,11,16,52059,0.02,0.00,11,12,12,12,16,16,16,16,16,16,16,16
"POST","/analysisResult.html?stock=Apple&type=Candle&date_from=2015-11-03&date_to=2020-02-20",6,0,341000,265882,4668,342637,6914762,0.01,0.00,341000,341000,342000,342000,343000,343000,343000,343000,343000,343000,343000,343000
"POST","/analysisResult.html?stock=Apple&type=Line&date_from=2015-11-03&date_to=2020-02-20",4,0,343000,258712,2753,344724,3512018,0.01,0.00,344000,344000,345000,345000,345000,345000,345000,345000,345000,345000,345000,345000
"POST","/analysisResult.html?stock=Apple&type=Table&date_from=2015-11-03&date_to=2020-02-20",2,0,237069,237290,237069,237512,658134,0.00,0.00,238000,238000,238000,238000,238000,238000,238000,238000,238000,238000,238000,238000
"GET","/compare.html",18,0,19,265,18,2278,108023,0.03,0.00,20,20,21,23,2100,2300,2300,2300,2300,2300,2300,2300
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Candle&date_from=2015-02-02&date_to=2020-02-20",8,0,350000,316495,79686,352665,13911284,0.01,0.00,350000,351000,351000,351000,353000,353000,353000,353000,353000,353000,353000,353000
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Line&date_from=2015-02-02&date_to=2020-02-20",4,0,351000,283692,79760,352278,14042800,0.01,0.00,352000,352000,352000,352000,352000,352000,352000,352000,352000,352000,352000,352000
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Table&date_from=2015-02-02&date_to=2020-02-20",5,0,302000,303440,286758,318096,2422313,0.01,0.00,302000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000,318000
"GET","/measure.html",23,0,13,110,11,2015,46273,0.04,0.00,13,16,24,31,63,110,2000,2000,2000,2000,2000,2000
"POST","/measureResults.html",23,0,230000,207546,2407,343950,2418489,0.04,0.00,230000,339000,341000,343000,343000,344000,344000,344000,344000,344000,344000,344000
"GET","/movers.html",17,0,44,45,43,50,3745,0.03,0.00,44,47,47,47,49,50,50,50,50,50,50,50
"POST","/moversResult.html",15,0,136000,128880,25151,139532,16022,0.03,0.00,136000,137000,138000,139000,139000,140000,140000,140000,140000,140000,140000,140000
"GET","/prediction.html",10,0,8,12,7,43,40373,0.02,0.00,8,9,12,12,43,43,43,43,43,43,43,43
"POST","/predictionResult.html",10,0,365000,294703,6391,370949,331120,0.02,0.00,365000,367000,367000,368000,371000,371000,371000,371000,371000,371000,371000,371000
"None","Aggregated",285,0,160,63028,2,370949,1052849,0.48,0.00,160,190,3400,137000,341000,350000,365000,367000,371000,371000,371000,371000
