"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/",128,0,280,394,2,1382,3079,0.21,0.00,280,370,400,470,1100,1300,1300,1300,1400,1400,1400,1400
"POST","/",128,61,7200,7065,181,16940,78521,0.21,0.10,7200,8900,10000,12000,15000,15000,16000,17000,17000,17000,17000,17000
"GET","/analysis.html",18,0,570,655,17,2482,52059,0.03,0.00,580,810,960,1000,1800,2500,2500,2500,2500,2500,2500,2500
"POST","/analysisResult.html?stock=Apple&type=Candle&date_from=2015-11-03&date_to=2020-02-20",11,0,514000,401122,21981,530388,6291012,0.02,0.00,514000,521000,523000,523000,524000,530000,530000,530000,530000,530000,530000,530000
"POST","/analysisResult.html?stock=Apple&type=Line&date_from=2015-11-03&date_to=2020-02-20",7,0,523000,413620,20307,525492,3512018,0.01,0.00,523000,524000,524000,524000,525000,525000,525000,525000,525000,525000,525000,525000
"GET","/compare.html",32,0,990,1001,39,4210,108023,0.05,0.00,1000,1300,1400,1600,1800,2500,4200,4200,4200,4200,4200,4200
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Candle&date_from=2015-02-02&date_to=2020-02-20",13,5,540000,343435,21078,552229,8607347,0.02,0.01,540000,542000,543000,544000,549000,552000,552000,552000,552000,552000,552000,552000
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Line&date_from=2015-02-02&date_to=2020-02-20",13,0,539000,431870,36506,548487,14042800,0.02,0.00,539000,545000,548000,548000,548000,548000,548000,548000,548000,548000,548000,548000
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Table&date_from=2015-02-02&date_to=2020-02-20",6,0,370000,349999,132005,444765,2422313,0.01,0.00,382000,382000,402000,402000,445000,445000,445000,445000,445000,445000,445000,445000
"GET","/measure.html",49,0,760,837,16,2688,46273,0.08,0.00,760,1000,1300,1600,1900,2000,2700,2700,2700,2700,2700,2700
"POST","/measureResults.html",48,6,334000,342316,12775,536388,1773942,0.08,0.01,336000,517000,520000,522000,525000,526000,536000,536000,536000,536000,536000,536000
"GET","/movers.html",34,0,730,744,43,2474,3745,0.06,0.00,750,1000,1100,1200,1500,2200,2500,2500,2500,2500,2500,2500
"POST","/moversResult.html",34,2,368000,296035,14871,459638,21295,0.06,0.00,373000,407000,418000,423000,442000,456000,460000,460000,460000,460000,460000,460000
"GET","/prediction.html",20,0,130,816,12,2187,40373,0.03,0.00,670,1500,1600,1700,2100,2200,2200,2200,2200,2200,2200,2200
"POST","/predictionResult.html",19,3,560000,431139,24082,584278,306875,0.03,0.00,560000,568000,574000,579000,584000,584000,584000,584000,584000,584000,584000,584000
"None","Aggregated",560,77,1600,98671,2,584278,915206,0.93,0.13,1600,9800,24000,233000,517000,539000,553000,571000,584000,584000,584000,584000
