"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/",128,0,700,1504,3,5174,3079,0.21,0.00,720,1900,2800,3100,3900,4700,4900,5100,5200,5200,5200,5200
"POST","/",128,0,2000,2939,161,8051,2524,0.21,0.00,2000,4200,5200,5400,6800,7200,7800,7900,8100,8100,8100,8100
"GET","/analysis.html",18,0,340,807,18,3306,52059,0.03,0.00,350,470,920,1600,3000,3300,3300,3300,3300,3300,3300,3300
"POST","/analysisResult.html?stock=Apple&type=Candle&date_from=2015-11-03&date_to=2020-02-20",1,0,546793,546793,546793,546793,6914762,0.00,0.00,547000,547000,547000,547000,547000,547000,547000,547000,547000,547000,547000,547000
"POST","/analysisResult.html?stock=Apple&type=Line&date_from=2015-11-03&date_to=2020-02-20",4,0,11000,146671,9138,536565,3512018,0.01,0.00,30000,30000,537000,537000,537000,537000,537000,537000,537000,537000,537000,537000
"POST","/analysisResult.html?stock=Apple&type=Table&date_from=2015-11-03&date_to=2020-02-20",1,0,196911,196911,196911,196911,658134,0.00,0.00,197000,197000,197000,197000,197000,197000,197000,197000,197000,197000,197000,197000
"GET","/compare.html",26,0,800,1221,45,4035,108023,0.04,0.00,1000,1700,1800,1900,3100,3500,4000,4000,4000,4000,4000,4000
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Table&date_from=2015-02-02&date_to=2020-02-20",4,0,272000,336678,169735,456867,2422313,0.01,0.00,448000,448000,457000,457000,457000,457000,457000,457000,457000,457000,457000,457000
"GET","/measure.html",48,0,570,1332,16,5883,46273,0.08,0.00,640,1500,2700,2800,3800,4000,5900,5900,5900,5900,5900,5900
"POST","/measureResults.html",32,0,171000,268016,22450,577795,1159358,0.05,0.00,178000,344000,518000,537000,558000,569000,578000,578000,578000,578000,578000,578000
"GET","/movers.html",32,0,210,1072,43,5159,3745,0.05,0.00,240,1300,2200,2200,2800,4000,5200,5200,5200,5200,5200,5200
"POST","/moversResult.html",31,0,424000,423517,343790,533011,16035,0.05,0.00,424000,455000,475000,488000,500000,511000,533000,533000,533000,533000,533000,533000
"GET","/prediction.html",15,0,980,1029,109,2603,40373,0.02,0.00,980,1200,1600,2300,2300,2600,2600,2600,2600,2600,2600,2600
"None","Aggregated",468,0,1600,53657,3,577795,163068,0.78,0.00,1600,3100,5000,5900,298000,448000,533000,553000,578000,578000,578000,578000
