"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/",256,0,1500,1582,94,3913,3079,0.52,0.00,1500,2100,2300,2500,3000,3300,3700,3800,3900,3900,3900,3900
"POST","/",256,0,2200,2373,375,6210,2524,0.52,0.00,2200,3000,3400,3600,4200,4700,5200,5900,6200,6200,6200,6200
"GET","/analysis.html",31,0,690,777,46,1918,52059,0.06,0.00,690,870,1100,1200,1700,1800,1900,1900,1900,1900,1900,1900
"POST","/analysisResult.html?stock=Apple&type=Table&date_from=2015-11-03&date_to=2020-02-20",3,0,229000,267937,209613,365647,658134,0.01,0.00,229000,229000,366000,366000,366000,366000,366000,366000,366000,366000,366000,366000
"GET","/compare.html",41,0,630,864,83,2419,108023,0.08,0.00,630,1000,1400,1600,1900,2000,2400,2400,2400,2400,2400,2400
"GET","/measure.html",84,0,700,918,66,3783,46273,0.17,0.00,740,960,1300,1500,1800,2100,3000,3800,3800,3800,3800,3800
"POST","/measureResults.html",13,0,193000,211533,106224,358205,132900,0.03,0.00,193000,242000,292000,305000,305000,358000,358000,358000,358000,358000,358000,358000
"GET","/movers.html",61,0,1200,1321,103,5074,3745,0.12,0.00,1200,1600,1800,1900,2300,2800,3800,5100,5100,5100,5100,5100
"GET","/prediction.html",43,0,540,813,47,2618,40373,0.09,0.00,540,1000,1300,1500,1700,2200,2600,2600,2600,2600,2600,2600
"None","Aggregated",788,0,1400,6115,46,365647,21612,1.59,0.00,1400,2000,2500,2800,3600,4300,106000,210000,366000,366000,366000,366000
