"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/",64,0,13,19,2,87,3079,0.11,0.00,13,20,26,31,40,46,74,87,87,87,87,87
"POST","/",64,0,590,922,169,2928,2524,0.11,0.00,600,1400,1600,1700,1900,2100,2800,2900,2900,2900,2900,2900
"GET","/analysis.html",11,0,16,200,11,1955,52059,0.02,0.00,16,39,40,40,58,2000,2000,2000,2000,2000,2000,2000
"POST","/analysisResult.html?stock=Apple&type=Candle&date_from=2015-11-03&date_to=2020-02-20",4,0,249000,227605,3014,334385,6914762,0.01,0.00,324000,324000,334000,334000,334000,334000,334000,334000,334000,334000,334000,334000
"POST","/analysisResult.html?stock=Apple&type=Line&date_from=2015-11-03&date_to=2020-02-20",4,0,336000,336375,335080,338018,3512018,0.01,0.00,337000,337000,338000,338000,338000,338000,338000,338000,338000,338000,338000,338000
"POST","/analysisResult.html?stock=Apple&type=Table&date_from=2015-11-03&date_to=2020-02-20",3,0,250000,181803,35396,259746,658134,0.01,0.00,250000,250000,260000,260000,260000,260000,260000,260000,260000,260000,260000,260000
"GET","/compare.html",12,0,33,39,19,72,108023,0.02,0.00,40,44,55,55,58,72,72,72,72,72,72,72
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Candle&date_from=2015-02-02&date_to=2020-02-20",6,0,341000,340769,339667,342134,13911284,0.01,0.00,341000,341000,342000,342000,342000,342000,342000,342000,342000,342000,342000,342000
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Line&date_from=2015-02-02&date_to=2020-02-20",5,0,341000,208764,6025,342118,14042800,0.01,0.00,341000,341000,341000,342000,342000,342000,342000,342000,342000,342000,342000,342000
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Table&date_from=2015-02-02&date_to=2020-02-20",1,0,304797,304797,304797,304797,2422313,0.00,0.00,305000,305000,305000,305000,305000,305000,305000,305000,305000,305000,305000,305000
"GET","/measure.html",30,0,43,83,11,1399,46273,0.05,0.00,44,48,57,60,81,82,1400,1400,1400,1400,1400,1400
"POST","/measureResults.html",30,0,259000,254837,6743,334891,1776003,0.05,0.00,259000,333000,334000,334000,334000,335000,335000,335000,335000,335000,335000,335000
"GET","/movers.html",10,0,43,47,8,87,3745,0.02,0.00,48,51,51,52,87,87,87,87,87,87,87,87
"POST","/moversResult.html",9,0,319000,316701,310563,319428,16030,0.02,0.00,319000,319000,319000,319000,319000,319000,319000,319000,319000,319000,319000,319000
"GET","/prediction.html",10,0,12,25,7,62,40373,0.02,0.00,23,33,40,45,62,62,62,62,62,62,62,62
"POST","/predictionResult.html",10,0,361000,361235,358203,363216,331106,0.02,0.00,362000,363000,363000,363000,363000,363000,363000,363000,363000,363000,363000,363000
"None","Aggregated",273,0,180,74610,2,363216,954497,0.46,0.00,180,1400,7100,258000,334000,341000,361000,363000,363000,363000,363000,363000
