"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/",64,0,340,442,9,1666,3079,0.11,0.00,350,530,660,680,940,1100,1400,1700,1700,1700,1700,1700
"POST","/",64,0,1100,1188,169,3547,2524,0.11,0.00,1200,1500,1700,1800,2100,2400,2600,3500,3500,3500,3500,3500
"GET","/analysis.html",14,0,110,195,16,653,52059,0.02,0.00,170,230,280,400,490,650,650,650,650,650,650,650
"POST","/analysisResult.html?stock=Apple&type=Candle&date_from=2015-11-03&date_to=2020-02-20",8,0,5200,72532,2817,199483,6914762,0.01,0.00,19000,155000,190000,190000,199000,199000,199000,199000,199000,199000,199000,199000
"POST","/analysisResult.html?stock=Apple&type=Line&date_from=2015-11-03&date_to=2020-02-20",5,0,141000,112868,6771,153134,3512018,0.01,0.00,141000,145000,145000,153000,153000,153000,153000,153000,153000,153000,153000,153000
"POST","/analysisResult.html?stock=Apple&type=Table&date_from=2015-11-03&date_to=2020-02-20",1,0,129814,129814,129814,129814,658134,0.00,0.00,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000,130000
"GET","/compare.html",16,0,110,267,22,927,108023,0.03,0.00,130,400,430,430,610,930,930,930,930,930,930,930
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Candle&date_from=2015-02-02&date_to=2020-02-20",8,0,37000,106026,8139,245568,13911284,0.01,0.00,82000,214000,215000,215000,246000,246000,246000,246000,246000,246000,246000,246000
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Line&date_from=2015-02-02&date_to=2020-02-20",5,0,211000,218465,195433,243093,14042800,0.01,0.00,211000,242000,242000,243000,243000,243000,243000,243000,243000,243000,243000,243000
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Table&date_from=2015-02-02&date_to=2020-02-20",3,0,206000,205059,203040,206383,2422313,0.01,0.00,206000,206000,206000,206000,206000,206000,206000,206000,206000,206000,206000,206000
"GET","/measure.html",26,0,82,205,12,1219,46273,0.05,0.00,120,220,240,240,530,750,1200,1200,1200,1200,1200,1200
"POST","/measureResults.html",26,0,36000,69550,2376,201081,2154745,0.05,0.00,49000,111000,147000,149000,154000,197000,201000,201000,201000,201000,201000,201000
"GET","/movers.html",21,0,200,279,46,791,3745,0.04,0.00,200,300,350,400,710,750,790,790,790,790,790,790
"POST","/moversResult.html",21,0,192000,180666,70682,264209,16043,0.04,0.00,192000,232000,238000,240000,250000,253000,264000,264000,264000,264000,264000,264000
"GET","/prediction.html",12,0,190,458,18,2069,40373,0.02,0.00,310,330,460,460,1200,2100,2100,2100,2100,2100,2100,2100
"POST","/predictionResult.html",12,0,241000,198203,6494,276273,321198,0.02,0.00,244000,252000,267000,267000,268000,276000,276000,276000,276000,276000,276000,276000
"None","Aggregated",306,0,730,39016,9,276273,1068968,0.54,0.00,750,1700,5900,71000,197000,238000,252000,264000,276000,276000,276000,276000
