"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/",128,0,1800,2492,5,7785,3079,0.21,0.00,1800,3600,4900,5300,6400,6900,7500,7600,7800,7800,7800,7800
"POST","/",128,0,3600,4386,163,12154,2524,0.21,0.00,4200,6400,7700,8200,9200,10000,11000,11000,12000,12000,12000,12000
"GET","/analysis.html",20,0,1600,1717,21,4568,52059,0.03,0.00,1800,2700,2900,3100,3700,4600,4600,4600,4600,4600,4600,4600
"POST","/analysisResult.html?stock=Apple&type=Table&date_from=2015-11-03&date_to=2020-02-20",1,0,502305,502305,502305,502305,658134,0.00,0.00,502000,502000,502000,502000,502000,502000,502000,502000,502000,502000,502000,502000
"GET","/compare.html",24,0,1700,1698,19,3675,108023,0.04,0.00,2000,2500,2800,3300,3400,3600,3700,3700,3700,3700,3700,3700
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Table&date_from=2015-02-02&date_to=2020-02-20",2,0,366216,456325,366216,546433,2422313,0.00,0.00,546000,546000,546000,546000,546000,546000,546000,546000,546000,546000,546000,546000
"GET","/measure.html",48,0,1600,2065,35,8960,46273,0.08,0.00,1800,2300,3300,3600,4300,5600,9000,9000,9000,9000,9000,9000
"POST","/measureResults.html",21,0,231000,251863,79909,465428,133064,0.04,0.00,231000,290000,344000,357000,430000,447000,465000,465000,465000,465000,465000,465000
"GET","/movers.html",33,0,2200,1745,63,4740,3745,0.06,0.00,2200,2800,3300,3400,3600,4000,4700,4700,4700,4700,4700,4700
"POST","/moversResult.html",32,0,527000,514529,390535,576040,15863,0.05,0.00,531000,548000,558000,558000,570000,573000,576000,576000,576000,576000,576000,576000
"GET","/prediction.html",11,0,320,958,83,3595,40373,0.02,0.00,320,780,1400,1400,3200,3600,3600,3600,3600,3600,3600,3600
"None","Aggregated",448,0,2500,54223,5,576040,35590,0.75,0.00,2500,4700,6400,7700,272000,502000,558000,567000,576000,576000,576000,576000
