"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/",128,0,4,10,2,108,3079,0.21,0.00,4,9,14,16,23,32,50,53,110,110,110,110
"POST","/",128,0,190,208,161,471,2524,0.21,0.00,190,200,210,230,280,380,420,460,470,470,470,470
"GET","/analysis.html",18,0,12,224,10,2072,52059,0.03,0.00,12,13,15,17,1600,2100,2100,2100,2100,2100,2100,2100
"POST","/analysisResult.html?stock=Apple&type=Candle&date_from=2015-11-03&date_to=2020-02-20",7,0,590000,550697,308579,596768,6914762,0.01,0.00,590000,591000,595000,595000,597000,597000,597000,597000,597000,597000,597000,597000
"POST","/analysisResult.html?stock=Apple&type=Line&date_from=2015-11-03&date_to=2020-02-20",5,0,591000,545130,358656,594856,3512018,0.01,0.00,591000,591000,591000,595000,595000,595000,595000,595000,595000,595000,595000,595000
"GET","/compare.html",30,0,20,147,18,1883,108023,0.05,0.00,20,21,29,53,73,1800,1900,1900,1900,1900,1900,1900
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Table&date_from=2015-02-02&date_to=2020-02-20",3,0,460000,456758,445013,465703,2422313,0.00,0.00,460000,460000,466000,466000,466000,466000,466000,466000,466000,466000,466000,466000
"GET","/measure.html",45,0,13,173,11,2362,46273,0.07,0.00,13,14,19,34,420,1100,2400,2400,2400,2400,2400,2400
"POST","/measureResults.html",34,0,349000,393534,93609,597801,1099187,0.06,0.00,350000,357000,589000,589000,594000,597000,598000,598000,598000,598000,598000,598000
"GET","/movers.html",30,0,43,149,43,2306,3745,0.05,0.00,47,47,51,55,63,860,2300,2300,2300,2300,2300,2300
"POST","/moversResult.html",30,0,211000,208348,186245,227805,16032,0.05,0.00,212000,215000,216000,219000,225000,226000,228000,228000,228000,228000,228000,228000
"GET","/prediction.html",21,0,9,217,7,1499,40373,0.03,0.00,9,24,56,79,850,1300,1500,1500,1500,1500,1500,1500
"None","Aggregated",479,0,49,57692,2,597801,248478,0.80,0.00,49,180,230,420,228000,359000,591000,595000,598000,598000,598000,598000
