"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/",8,0,26,36,6,114,3079,0.03,0.00,26,30,68,68,110,110,110,110,110,110,110,110
"POST","/",8,0,230,276,166,435,2524,0.03,0.00,260,380,410,410,440,440,440,440,440,440,440,440
"GET","/analysis.html",2,0,58,62,58,66,52059,0.01,0.00,66,66,66,66,66,66,66,66,66,66,66,66
"POST","/analysisResult.html?stock=Apple&type=Candle&date_from=2015-11-03&date_to=2020-02-20",2,0,3600,18662,3576,33748,6914762,0.01,0.00,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000
"GET","/compare.html",2,0,23,38,23,53,108023,0.01,0.00,53,53,53,53,53,53,53,53,53,53,53,53
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Candle&date_from=2015-02-02&date_to=2020-02-20",2,0,41350,42683,41350,44015,13911284,0.01,0.00,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000,44000
"GET","/measure.html",5,0,61,56,11,75,46273,0.02,0.00,61,74,74,75,75,75,75,75,75,75,75,75
"POST","/measureResults.html",5,0,4000,10266,2476,34268,2105035,0.02,0.00,4000,7500,7500,34000,34000,34000,34000,34000,34000,34000,34000,34000
"GET","/movers.html",1,0,67,67,67,67,3745,0.00,0.00,67,67,67,67,67,67,67,67,67,67,67,67
"POST","/moversResult.html",1,0,21928,21928,21928,21928,16024,0.00,0.00,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000,22000
"GET","/prediction.html",4,0,25,36,13,62,40373,0.02,0.00,43,43,62,62,62,62,62,62,62,62,62,62
"POST","/predictionResult.html",4,0,53000,42025,6370,54591,317737,0.02,0.00,54000,54000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000
"None","Aggregated",44,0,110,8346,6,54591,1232405,0.18,0.00,170,440,4000,7500,41000,53000,55000,55000,55000,55000,55000,55000
