"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/",8,0,28,71,8,142,3079,0.02,0.00,110,120,130,130,140,140,140,140,140,140,140,140
"POST","/",8,0,250,333,165,588,2524,0.02,0.00,370,380,490,490,590,590,590,590,590,590,590,590
"GET","/analysis.html",4,0,16,37,16,94,52059,0.01,0.00,23,23,94,94,94,94,94,94,94,94,94,94
"POST","/analysisResult.html?stock=Apple&type=Candle&date_from=2015-11-03&date_to=2020-02-20",2,0,25000,25114,24907,25321,6914762,0.00,0.00,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000,25000
"POST","/analysisResult.html?stock=Apple&type=Line&date_from=2015-11-03&date_to=2020-02-20",2,0,2408,2608,2408,2808,3512018,0.00,0.00,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800,2800
"GET","/compare.html",2,0,23,81,23,139,108023,0.00,0.00,140,140,140,140,140,140,140,140,140,140,140,140
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Line&date_from=2015-02-02&date_to=2020-02-20",1,0,27072,27072,27072,27072,14042800,0.00,0.00,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000,27000
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Table&date_from=2015-02-02&date_to=2020-02-20",1,0,5364,5364,5364,5364,2422313,0.00,0.00,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400
"GET","/measure.html",5,0,31,39,11,75,46273,0.01,0.00,31,60,60,75,75,75,75,75,75,75,75,75
"POST","/measureResults.html",5,0,19000,17488,2941,26163,2104662,0.01,0.00,19000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000,26000
"GET","/movers.html",1,0,92,92,92,92,3745,0.00,0.00,92,92,92,92,92,92,92,92,92,92,92,92
"POST","/moversResult.html",1,0,18083,18083,18083,18083,16068,0.00,0.00,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000
"GET","/prediction.html",1,0,57,57,57,57,40373,0.00,0.00,57,57,57,57,57,57,57,57,57,57,57,57
"POST","/predictionResult.html",1,0,6742,6742,6742,6742,316269,0.00,0.00,6700,6700,6700,6700,6700,6700,6700,6700,6700,6700,6700,6700
"None","Aggregated",42,0,140,4858,8,27072,1164735,0.08,0.00,170,490,2900,6700,25000,26000,27000,27000,27000,27000,27000,27000
