"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/",128,0,1500,1808,2,5623,3079,0.21,0.00,1500,2100,3200,3600,4400,4800,5500,5600,5600,5600,5600,5600
"POST","/",128,0,3300,3203,161,9468,2524,0.21,0.00,3300,4100,4800,5300,6300,6700,7500,7600,9500,9500,9500,9500
"GET","/analysis.html",17,0,750,1076,11,3475,52059,0.03,0.00,750,1600,1900,2000,2600,3500,3500,3500,3500,3500,3500,3500
"POST","/analysisResult.html?stock=Apple&type=Candle&date_from=2015-11-03&date_to=2020-02-20",6,0,519000,439372,23208,532926,6914762,0.01,0.00,523000,523000,530000,530000,533000,533000,533000,533000,533000,533000,533000,533000
"POST","/analysisResult.html?stock=Apple&type=Line&date_from=2015-11-03&date_to=2020-02-20",10,0,525000,475963,22423,537153,3512018,0.02,0.00,529000,529000,530000,532000,537000,537000,537000,537000,537000,537000,537000,537000
"GET","/compare.html",30,0,1600,1531,18,3739,108023,0.05,0.00,1700,2200,2600,3000,3000,3600,3700,3700,3700,3700,3700,3700
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Candle&date_from=2015-02-02&date_to=2020-02-20",17,0,545000,486978,44913,558844,13911284,0.03,0.00,545000,546000,546000,550000,553000,559000,559000,559000,559000,559000,559000,559000
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Line&date_from=2015-02-02&date_to=2020-02-20",10,0,555000,552383,537247,563133,14042800,0.02,0.00,557000,558000,559000,560000,563000,563000,563000,563000,563000,563000,563000,563000
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Table&date_from=2015-02-02&date_to=2020-02-20",3,0,401000,417103,394738,455475,2422313,0.01,0.00,401000,401000,455000,455000,455000,455000,455000,455000,455000,455000,455000,455000
"GET","/measure.html",43,0,1200,1376,11,4303,46273,0.07,0.00,1200,1700,2100,2500,2900,3000,4300,4300,4300,4300,4300,4300
"POST","/measureResults.html",42,0,507000,411735,28309,535504,2166788,0.07,0.00,509000,513000,516000,520000,528000,533000,536000,536000,536000,536000,536000,536000
"GET","/movers.html",30,0,760,999,67,4816,3745,0.05,0.00,850,1000,1400,1700,2500,2500,4800,4800,4800,4800,4800,4800
"POST","/moversResult.html",30,0,349000,310111,19462,457935,16032,0.05,0.00,351000,368000,373000,384000,427000,457000,458000,458000,458000,458000,458000,458000
"GET","/prediction.html",21,0,930,1221,67,2958,40373,0.04,0.00,930,1600,1700,1800,2400,2800,3000,3000,3000,3000,3000,3000
"POST","/predictionResult.html",7,0,573000,574856,565883,587154,317405,0.01,0.00,573000,578000,582000,582000,587000,587000,587000,587000,587000,587000,587000,587000
"None","Aggregated",522,0,2500,103238,2,587154,1077195,0.87,0.00,2500,4300,6900,314000,518000,542000,559000,568000,587000,587000,587000,587000
