"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/",32,0,200,219,8,595,3079,0.05,0.00,200,280,310,330,380,490,600,600,600,600,600,600
"POST","/",32,0,720,745,162,1306,2524,0.05,0.00,750,950,1100,1200,1200,1300,1300,1300,1300,1300,1300,1300
"GET","/analysis.html",6,0,92,121,56,199,52059,0.01,0.00,130,130,190,190,200,200,200,200,200,200,200,200
"POST","/analysisResult.html?stock=Apple&type=Candle&date_from=2015-11-03&date_to=2020-02-20",4,0,80000,84060,64016,97046,6914762,0.01,0.00,95000,95000,97000,97000,97000,97000,97000,97000,97000,97000,97000,97000
"POST","/analysisResult.html?stock=Apple&type=Line&date_from=2015-11-03&date_to=2020-02-20",2,0,3300,38668,3288,74048,3512018,0.00,0.00,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000,74000
"GET","/compare.html",10,0,89,141,20,412,108023,0.02,0.00,93,110,180,390,410,410,410,410,410,410,410,410
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Candle&date_from=2015-02-02&date_to=2020-02-20",5,0,131000,104790,5129,132630,13911284,0.01,0.00,131000,131000,131000,133000,133000,133000,133000,133000,133000,133000,133000,133000
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Line&date_from=2015-02-02&date_to=2020-02-20",4,0,9800,38666,5272,129172,14042800,0.01,0.00,10000,10000,129000,129000,129000,129000,129000,129000,129000,129000,129000,129000
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Table&date_from=2015-02-02&date_to=2020-02-20",1,0,124622,124622,124622,124622,2422313,0.00,0.00,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000,125000
"GET","/measure.html",16,0,61,113,16,345,46273,0.03,0.00,61,140,230,230,260,350,350,350,350,350,350,350
"POST","/measureResults.html",16,0,27000,41820,2566,97545,2391888,0.03,0.00,32000,69000,89000,89000,96000,98000,98000,98000,98000,98000,98000,98000
"GET","/movers.html",7,0,83,129,8,351,3745,0.01,0.00,83,150,180,180,350,350,350,350,350,350,350,350
"POST","/moversResult.html",7,0,41000,39115,32911,42956,16047,0.01,0.00,41000,41000,41000,41000,43000,43000,43000,43000,43000,43000,43000,43000
"GET","/prediction.html",7,0,74,109,12,281,40373,0.01,0.00,74,120,160,160,280,280,280,280,280,280,280,280
"POST","/predictionResult.html",7,0,149000,133712,7064,170970,336625,0.01,0.00,149000,154000,160000,160000,171000,171000,171000,171000,171000,171000,171000,171000
"None","Aggregated",156,0,380,20078,8,170970,1321750,0.26,0.00,390,1100,5100,32000,95000,131000,149000,160000,171000,171000,171000,171000
