"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/",128,0,450,1130,2,4495,3079,0.21,0.00,460,1600,2000,2100,2500,2700,4000,4400,4500,4500,4500,4500
"POST","/",128,46,4600,6334,221,16695,60073,0.21,0.08,4700,8500,11000,12000,14000,15000,16000,16000,17000,17000,17000,17000
"GET","/analysis.html",13,0,1000,1360,41,3660,52059,0.02,0.00,1000,1700,2400,2600,2600,3700,3700,3700,3700,3700,3700,3700
"POST","/analysisResult.html?stock=Apple&type=Candle&date_from=2015-11-03&date_to=2020-02-20",6,0,567000,501852,157907,581371,6914762,0.01,0.00,569000,569000,576000,576000,581000,581000,581000,581000,581000,581000,581000,581000
"POST","/analysisResult.html?stock=Apple&type=Line&date_from=2015-11-03&date_to=2020-02-20",5,0,575000,539273,395630,580518,3512018,0.01,0.00,575000,575000,575000,581000,581000,581000,581000,581000,581000,581000,581000,581000
"POST","/analysisResult.html?stock=Apple&type=Table&date_from=2015-11-03&date_to=2020-02-20",2,0,329305,336530,329305,343755,658134,0.00,0.00,344000,344000,344000,344000,344000,344000,344000,344000,344000,344000,344000,344000
"GET","/compare.html",30,0,1100,1424,43,6634,108023,0.05,0.00,1100,1300,1800,2100,3700,4800,6600,6600,6600,6600,6600,6600
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Candle&date_from=2015-02-02&date_to=2020-02-20",1,1,2708,2708,2708,2708,121264,0.00,0.00,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700,2700
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Table&date_from=2015-02-02&date_to=2020-02-20",4,0,398000,417637,375418,490002,2422313,0.01,0.00,407000,407000,490000,490000,490000,490000,490000,490000,490000,490000,490000,490000
"GET","/measure.html",46,0,1200,1405,26,5312,46273,0.08,0.00,1200,1700,2200,2300,2800,2900,5300,5300,5300,5300,5300,5300
"POST","/measureResults.html",44,2,562000,450986,2899,582987,2298055,0.07,0.00,563000,569000,574000,576000,581000,581000,583000,583000,583000,583000,583000,583000
"GET","/movers.html",39,0,750,1108,43,7161,3745,0.07,0.00,750,1200,1600,1700,2500,2700,7200,7200,7200,7200,7200,7200
"POST","/moversResult.html",39,1,143000,140692,2198,212499,18326,0.07,0.00,143000,152000,171000,187000,206000,211000,212000,212000,212000,212000,212000,212000
"GET","/prediction.html",19,0,1100,1576,419,6492,40373,0.03,0.00,1100,1600,1800,2200,2700,6500,6500,6500,6500,6500,6500,6500
"POST","/predictionResult.html",1,1,2638,2638,2638,2638,117555,0.00,0.00,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600,2600
"None","Aggregated",505,51,2100,68397,2,582987,370623,0.84,0.09,2100,3700,11000,15000,327000,567000,576000,581000,583000,583000,583000,583000
