"Type","Name","# requests","# failures","Median response time","Average response time","Min response time","Max response time","Average Content Size","Requests/s","Requests Failed/s","50%","66%","75%","80%","90%","95%","98%","99%","99.9%","99.99%","99.999","100%"
"GET","/",16,0,11,23,3,83,3079,0.04,0.00,12,13,52,52,65,83,83,83,83,83,83,83
"POST","/",16,0,200,249,161,406,2524,0.04,0.00,200,250,330,330,410,410,410,410,410,410,410,410
"GET","/analysis.html",3,0,15,23,15,37,52059,0.01,0.00,15,15,37,37,37,37,37,37,37,37,37,37
"POST","/analysisResult.html?stock=Apple&type=Candle&date_from=2015-11-03&date_to=2020-02-20",1,0,70018,70018,70018,70018,6914762,0.00,0.00,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000
"POST","/analysisResult.html?stock=Apple&type=Table&date_from=2015-11-03&date_to=2020-02-20",2,0,71000,71398,70644,72152,658134,0.00,0.00,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
"GET","/compare.html",4,0,23,38,23,82,108023,0.01,0.00,23,23,82,82,82,82,82,82,82,82,82,82
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Candle&date_from=2015-02-02&date_to=2020-02-20",3,0,6000,5764,5016,6241,13911284,0.01,0.00,6000,6000,6200,6200,6200,6200,6200,6200,6200,6200,6200,6200
"POST","/compareResult.html?stock1=American&stock2=Adobe&type=Line&date_from=2015-02-02&date_to=2020-02-20",1,0,80001,80001,80001,80001,14042800,0.00,0.00,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000,80000
"GET","/measure.html",6,0,40,42,16,84,46273,0.01,0.00,44,44,45,45,84,84,84,84,84,84,84,84
"POST","/measureResults.html",6,0,71000,71385,69209,72420,2871428,0.01,0.00,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000,72000
"GET","/movers.html",5,0,48,38,8,75,3745,0.01,0.00,48,51,51,75,75,75,75,75,75,75,75,75
"POST","/moversResult.html",5,0,31000,32102,15707,52762,16039,0.01,0.00,31000,32000,32000,53000,53000,53000,53000,53000,53000,53000,53000,53000
"GET","/prediction.html",5,0,24,25,13,42,40373,0.01,0.00,24,25,25,42,42,42,42,42,42,42,42,42
"POST","/predictionResult.html",5,0,94000,77111,7602,96653,335083,0.01,0.00,94000,94000,94000,97000,97000,97000,97000,97000,97000,97000,97000,97000
"None","Aggregated",78,0,84,16534,3,96653,1079077,0.18,0.00,160,330,7600,32000,72000,93000,94000,97000,97000,97000,97000,97000
